Driver,AVG_Time_Soft,AVG_Time_Medium,AVG_Time_Hard,AVG_Soft_Degradation,AVG_Medium_Degradation,AVG_Hard_Degradation,Total_Laps,Top_Speed,Qualifying_time,Sector_1_time,Sector_2_time,Sector_3_time,Qualifying_Position,Delta_Time_To_Leader,Finish_Position,Constructors_Points
LEC,88.030666,,76.812133,,,,65,289.0,70.063,18.29,33.18,18.593,2,0.10900000000000887,2,142
VER,83.494166,85.980153,,,,,57,288.0,70.669,18.411,33.601,18.657,5,0.7150000000000034,5,143
NOR,83.952428,81.553,,,,,61,285.0,69.954,18.216,33.254,18.484,1,0.0,1,319
PIA,86.333357,88.764,,,,,49,286.0,70.129,18.17,33.433,18.526,3,0.17500000000001137,3,319
HAM,94.2125,78.119692,,,,,62,288.0,70.382,18.368,33.385,18.629,4,0.4280000000000115,4,142
ALB,89.6502,82.712736,,1.212250000000001,,,68,287.0,70.732,18.369,33.616,18.747,6,0.7780000000000058,6,42
LAW,86.290333,82.059875,,,,,74,287.0,71.129,18.489,33.868,18.772,10,1.1750000000000114,10,28
SAI,82.0036,86.350562,,,,,64,284.0,71.362,18.523,33.954,18.885,11,1.4080000000000013,11,42
TSU,88.094,77.49525,,,,,60,286.0,71.415,18.731,33.801,18.883,12,1.4610000000000127,12,143
ANT,81.937833,81.999857,,,,,60,289.0,71.88,18.731,34.015,19.134,15,1.926000000000002,15,147
RUS,87.284,81.114642,,,,,56,288.0,71.507,18.555,34.069,18.883,13,1.5530000000000115,13,147
ALO,89.535714,82.463769,,,,,55,288.0,70.924,18.515,33.737,18.672,8,0.9700000000000131,8,16
HUL,79.511333,,89.014714,0.0014444444444450255,,,67,284.0,71.596,18.755,34.038,18.803,14,1.6420000000000101,14,13
GAS,91.8635,80.951937,,,,,66,287.0,71.994,18.632,34.214,19.148,18,2.0400000000000063,18,10
STR,90.8159,77.783444,,,0.3404999999999987,,38,290.0,72.563,18.898,34.263,19.402,19,2.609000000000009,19,16
BEA,83.886,92.12075,,,,,63,287.0,71.979,18.595,34.062,19.322,17,2.0250000000000057,17,25
HAD,92.335692,,,,,,61,285.0,70.923,18.388,33.778,18.757,7,0.9690000000000083,7,0
OCO,89.2253,85.022466,,,,,71,287.0,70.942,18.485,33.664,18.793,9,0.9879999999999995,9,25
BOR,84.598928,,82.3894,0.4550000000000054,,,63,285.0,71.902,18.786,34.067,19.049,16,1.9480000000000075,16,13
COL,88.164428,82.007928,,,,,69,284.0,72.597,18.756,34.535,19.306,20,2.6430000000000007,20,10
